Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Favara;19084017;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Favara;19084017;2013;Comune;33.484;7,65;61,1;202,822;65,12;0;11,215481518;62,557966461;83,239178599;0,746890854;0;138,5896967;
Grotte;19084018;2010;Comune;5.911;0,42;21,56;41,944;0;0;27,06;35,66;5,46;0,135;0;226,52999999999997;
Grotte;19084018;2011;Comune;5.839;0,4634;23,7886;46,2796;0;0;29,8571;39,3461;6,0243;0,149;0;249,9458;
Grotte;19084018;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Grotte;19084018;2013;Comune;5.833;0,463414308;15,46;18,486;0;0;29,85712182;39,34608145;1,897791927;0,148954599;0;249,94581687;
Joppolo Giancaxio;19084019;2010;Comune;1.243;0,7;11,32;16,405;0;0;8,484;15,118;2,2800000000000002;0,065;0;69,351;
Joppolo Giancaxio;19084019;2011;Comune;1.210;0;0;24,607999999999997;0;0;0,773;7,783;4;0,06;0;13,673;
Joppolo Giancaxio;19084019;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Joppolo Giancaxio;19084019;2013;Comune;1.249;2,4;6,04;11,862;0;0;0,773;7,783;0;0;0;13,673;
Lampedusa e Linosa;19084020;2010;Comune;6.299;9,28;154,42;64,03999999999999;0;37,98;20,78;6,36;15,34;3,4;0;229,43;
Lampedusa e Linosa;19084020;2011;Comune;6.105;0;0;80,6045;0;0;1,0127;12,6647;16;2,1042;0;151,11;
Lampedusa e Linosa;19084020;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Lampedusa e Linosa;19084020;2013;Comune;6.537;12,16;156,04;0;42,68;0;20,86;0;0;0,68;0;0;
Licata;19084021;2010;Comune;39.082;14,4;57,04;656,37;0;0;39,13;83,23;3,38;1,96;0;169,98;
Licata;19084021;2011;Comune;38.125;7,54;0;674,0600000000001;0;0;4,83;70,27;11,1;4,4;0;310,7;
Licata;19084021;2012;Comune;38.064;1,46;50,08;750,74;17,38;0;3,32;54;19,240000000000002;0,8;0;302,4;
Licata;19084021;2013;Comune;38.130;5,18;137,38;703,05;35,14;0;0;11,76;35,2;2,55;0;681,6600000000001;
Lucca Sicula;19084022;2010;Comune;1.905;1;0;48,25;262,71;10,4;13,469999999999999;9,030000000000001;0;0,67;1,5;38,63;
Lucca Sicula;19084022;2011;Comune;1.917;1,0407;0;50,214;273,4036;10,8233;14,0183;9,3976;0;0,6973;1,5611;40,2024;
Lucca Sicula;19084022;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Lucca Sicula;19084022;2013;Comune;1.852;16,14;0;106,34;84,64;22,06;26,42;11,6;0,6;0;4,46;0;
Menfi;19084023;2010;Comune;12.812;8,82;0;366,88;1365,8600000000001;78,96;90,87;95,89;0;0;26,78;458,25;
Menfi;19084023;2011;Comune;12.711;10,0393;0;417,5979;1554,6779;89,8755;103,432;109,1459;0;0;30,4821;521,5989;
Menfi;19084023;2012;SO.GE.I.R. AG1 SPA IN LIQUIDAZIONE;122.791;57,04;0;2866,452;10488,71;687,012;323,605;795,956;536,131;23,015;245,36;1001,929;
Menfi;19084023;2013;Comune;12.725;60,57;0;118,45;1906,58;74,68;21,43;31,75;1,2;2,846;42,38;0;
Montallegro;19084024;2010;Comune;2.557;0,44;13,64;1,18;0;0;34,51;45,47;5,66;0,023;0;269,14;
Montallegro;19084024;2011;Comune;2.543;0,2866;8,8861;0,7687;0;0;22,4824;29,6226;3,6873000000000005;0,015;0;175,3379;
Montallegro;19084024;2012;GE.S.A. AG 2 SPA IN LIQUIDAZIONE;194.374;70,4;1828,79;3058,8532000000005;0;15,1668;161,0089;1827,0862;270,07000000000005;4,892;0;1199,2251;
Montallegro;19084024;2013;Comune;2.528;0,286648879;3,6;0,768740176;0;0;22,48239278;29,62255577;3,687346947;0,014983917999999999;0;175,3379076;
