Comune;Istat_comune;Anno;Dato relativo a:;Popolazione;Altro RD(t);Ingombranti Misti(t);Carta e Cartone(t);Frazione Organica(t);Legno(t);Metallo(t);Plastica(t);RAEE(t);Selettiva(t);Tessili(t);Vetro(t)
Diso;16075027;2013;Comune;3.039;1,27;10,73;59,26;3,48;4,42;1,33;1,75;12,159999999999998;0,748;7,92;102,08;
Gagliano del Capo;16075028;2010;Comune;5.485;39,13;12,94;135,85;0;0;10,870000000000001;63,4;15,0467;0,12;0;124,26;
Gagliano del Capo;16075028;2011;Comune;5.402;10,629999999999999;16,18;145,93;0;0;13,27;61,375;13,5633;0,08;0;133,10999999999999;
Gagliano del Capo;16075028;2012;Comune;5.388;0,18;15;297,03999999999996;0;2,05;25,4;172,46;16,394;0,24;0;242,38;
Gagliano del Capo;16075028;2013;Comune;5.279;6,92;21,11;145,06;0;6,85;12,9;88,02;15,7446;0,44;10,41;130,11;
Galatina;16075029;2010;Comune;27.299;81,03;61,06;685,77;0,5;62,44;70,9476;423,9974;114,50200000000001;2,61;0;717,459;
Galatina;16075029;2011;Comune;27.214;30,39;58,67;636,8299999999999;2,76;65,76;85,0238;142,42;90;2,525;0;906,8712;
Galatina;16075029;2012;Comune;27.187;0,77;48,31;674,93;0;61,21;34,23;485,53;63,178;4,3950000000000005;0;513,78;
Galatina;16075029;2013;Comune;27.337;0;54,72;772,56;0;71,21;32,01;505,64;77,97999999999999;3,17;0;551,6;
Galatone;16075030;2010;Comune;15.834;10,67;48,08;282,75;54,76;33,23;51,03;0,88;5,37;0,28;0;4,92;
Galatone;16075030;2011;Comune;15.754;0,9;36,13;359,12;0;81,26;0;21,73;30,643;0;0;22,67;
Galatone;16075030;2012;Comune;15.756;1,46;52,5;296,76;6;3,64;4,72;26,2;57,0014;1,81;0;37,75;
Galatone;16075030;2013;Comune;15.779;6,73;62,14;481,9;84,84;0;42,73;188,78;54,926;1,05;0;3,48;
Gallipoli;16075031;2010;Comune;21.139;34,27;129,68;303,47;0;82,11;11,74;96,85;30,26;0,06;0;204,03;
Gallipoli;16075031;2011;Comune;20.398;28,666;134,39;425,83;57,41;49,03;19,79;179,41;30,942999999999998;0;0;295,92;
Gallipoli;16075031;2012;Comune;20.399;1,3;218,96;438,77000000000004;58,28;0,41;19,8;183,45000000000002;0,14;0,24;0;296,65;
Gallipoli;16075031;2013;Comune;20.150;287,84999999999997;462,59;693,36;51,88;3,8;20,32;163,54;42,281;0,583;17,85;275,38000000000005;
Giuggianello;16075032;2010;Comune;1.256;85,53;9,72;9,34;0;0;0,7;0;3,8299999999999996;0;10,066;41,13;
Giuggianello;16075032;2011;Comune;1.249;77,61;8,82;11,77;0;4,16;2,26;0,38;7,2540000000000004;0,183;7,15;36,72;
Giuggianello;16075032;2012;Comune;1.250;0,5;7,64;31,1384;0;7,104800000000001;4,1894;23,5808;8,469999999999999;0,29;3,54;54,2155;
Giuggianello;16075032;2013;Comune;1.235;0,37;6,19;29,310000000000002;1,88;3,08;4,6;17,25;5,88;0,668;4,81;46,9;
Giurdignano;16075033;2010;Comune;1.917;0,655;11,2;20,48;0;0;0,8;108,44;3,262;0;0,56;68,62;
Giurdignano;16075033;2011;Comune;1.928;64,28;9,75;17,83;0;2,91;2,98;30,69;7,459;0,284;0,5;67,8;
Giurdignano;16075033;2012;Comune;1.931;0,2;6,14;42,0487;0;7,2539;3,7605;24,6857;9,045;0,46799999999999997;5,3;73,0296;
Giurdignano;16075033;2013;Comune;1.968;0;5,2;54,64;1,12;2,76;6,1499999999999995;27,04;6,962000000000001;0,271;5,6;70,26;
Guagnano;16075034;2010;Comune;5.943;36,63;22,58;43,14;60,83;20,299999999999997;28,7566;25,5315;23,1;1,59;9,86;259,0293;
Guagnano;16075034;2011;Comune;5.900;1,8800000000000001;17,42;36,94;91,17;42,1;25,736800000000002;20,393;26,9;2,8200000000000003;10,22;210,479;
Guagnano;16075034;2012;Comune;5.901;1,8800000000000001;17,42;36,94;91,17;42,1;25,736800000000002;20,393;26,9;2,8200000000000003;10,22;210,479;
Guagnano;16075034;2013;Comune;5.854;0,55;15,66;161,23;71,14;37,2;12,19;122,66;40,8;3,27;1,72;156,25;
Lecce;16075035;2010;Comune;95.520;8,860000000000001;262,62;2331,61;1490,11;290,06;283,34119999999996;622,548;175,70819999999998;11,535;0;3172,6968;
Lecce;16075035;2011;Comune;89.916;69,617;238,88;3348,52;1196,37;347,53999999999996;195,6738;576,576;138,388;13,169999999999998;23,44;2989,5553;
Lecce;16075035;2012;Comune;89.615;0,69;285,41;4031,2999999999997;1182,81;558,72;74,23;982,26;45,61;10,219999999999999;59,98;1821,98;
Lecce;16075035;2013;Comune;93.302;1,45;356,96;4307,860000000001;1163,06;527,12;98,58;465,65;104,53999999999999;20,195;66,72;1665,17;
Lequile;16075036;2010;Comune;8.617;1,92;12,44;311,95;0;14,05;12,3005;188,5656;25,439999999999998;0,84;0;276,0971;
Lequile;16075036;2011;Comune;8.624;11,67;19,18;297,65999999999997;60,12;26,65;3,1976;181,4751;21,97;1,7060000000000002;0;247,0189;
Lequile;16075036;2012;Comune;8.655;0,25;13,01;293,54999999999995;67,03;15,61;4,83;194,25;24,120000000000005;1,061;11,04;244,21;
Lequile;16075036;2013;Comune;8.682;0,71;20,23;243,54000000000002;158,59;16,6;17,51;194,78;33,3;1,536;11,03;244,22;
Leverano;16075037;2010;Comune;14.267;0;36,52;383,56;31,39;0;0,06;112,67;19,74;0,64;15,74;202,64;
Leverano;16075037;2011;Comune;14.069;2,88;31,42;383,44;168,88;29,86;5,0600000000000005;119,24;42,480000000000004;1,2200000000000002;16,08;170,2;
Leverano;16075037;2012;Comune;14.062;2,88;31,42;383,44;168,88;29,86;5,0600000000000005;119,24;42,480000000000004;1,2200000000000002;16,08;170,2;
Leverano;16075037;2013;Comune;14.169;0;19,84;340,77;333,16;38,1;0;104,98;47,92;1,2;10,68;134,06;
Lizzanello;16075038;2010;Comune;11.788;0;28,8;80,1382;24,8291;0;0,0655;0;8,214500000000001;0,5672;0;269,8;
Lizzanello;16075038;2011;Comune;11.549;1,72;20,12;58,2;14,81;0;12,4107;15,615;5,88;0,58;0;155,5355;
Lizzanello;16075038;2012;Comune;11.553;1,72;20,12;58,2;14,81;0;12,4107;15,615;5,88;0,58;0;155,5355;
Lizzanello;16075038;2013;Comune;11.809;2,19;25,608;103,18;32,34;1,38;5,52;45,88;14,85;0,91;9,91;85,36999999999999;
Maglie;16075039;2010;Comune;14.981;185,1724;29,5;1187,5;120,38;54,46;34,7513;474,2674;85,3254;4,498;0;498,2253;
Maglie;16075039;2011;Comune;14.819;268,307;24,36;1124,65;103,69;45,88;28,634;446,1954;75,612;4,42;5,5;440,5688;
Maglie;16075039;2012;Comune;14.773;6,24;27,1;1042,24;93,06;41,029999999999994;19,3;436,39000000000004;0;2,74;7,61;430,45;
Maglie;16075039;2013;Comune;14.569;0,51;38,54;975,56;40,59;42,33;35,83;406,36;0;3,1100000000000003;8,52;403,22;
Martano;16075040;2010;Comune;9.485;312,79;13,13;153,43;7,28;15,67;0;26,89;19,4951;0,33599999999999997;0;260,96;
Martano;16075040;2011;Comune;9.320;0;15,47;301,39;6,97;14,39;0;141,47;19,5685;0,21699999999999997;0;300,53;
Martano;16075040;2012;Comune;9.312;0;0;324,07;0;13,76;14,8;148,93;20,038;1,07;0;235,1;
Martano;16075040;2013;Comune;9.392;1,07;0;294,94;0;13,59;30,799999999999997;141,88;26,325;3,205;0;277,52;
Martignano;16075041;2010;Comune;1.748;0,1;3,79;60,16;0;9,57;4,6221;25,6491;4,045;0,28600000000000003;0;49,7834;
Martignano;16075041;2011;Comune;1.730;5,42;3,18;64,12;0;5,11;3,07;25,19;5,77;0,087;3,83;53,12;
Martignano;16075041;2012;Comune;1.718;0;2,72;59,19;0;1,87;3,15;26,15;4,7;0,08;3,68;47,18;
Martignano;16075041;2013;Comune;1.706;0;2,05;43,129999999999995;0;1,7;4,0600000000000005;16,02;3,55;0;2,97;50,21;
Matino;16075042;2010;Comune;11.795;0,8727;18,1724;317,0073;0;11,16;21,8182;126,15270000000001;3,2345;0,0469;0;267,6109;
Matino;16075042;2011;Comune;11.704;0;20,83;344,15999999999997;0;13,899999999999999;22,31;134,34;11,499;0,065;2,06;272,49;
Matino;16075042;2012;Comune;11.689;0,47;28,265;322,02;0;0;23,89;139,57;19,205;0,63;0;176,06;
Matino;16075042;2013;Comune;11.693;0;32,03;297,23;16,04;0;21,82;129,55;19,205;0;0;161,86;
Melendugno;16075043;2010;Comune;9.838;57,94;46,98;424,49;139,55;45,54;15,129999999999999;207,83;44,2;1,2;0;436,71;
Melendugno;16075043;2011;Comune;9.646;77,03;47,67;376,79999999999995;278,27;46,43;0,11;206,16;36,81;1,62;0;394,53;
Melendugno;16075043;2012;Comune;9.613;6,315;36,95;361,74;350,27;40,83;8,97;219,89;46,06;10,116999999999999;0;431,02000000000004;
Melendugno;16075043;2013;Comune;9.861;2,81;56,59;381,78;283,38;65,78;4,4399999999999995;220,95;42,06;4,8100000000000005;14,11;406,36;
Melissano;16075044;2010;Comune;7.357;3,32;2,18;279,56;0;0;0;170,88;2,7;0;0;93,59;
Melissano;16075044;2011;Comune;7.307;0,28;5,83;284,55;0;4,1;5,680000000000001;149,8;0;0,56;8,3;239,8;
Melissano;16075044;2012;Comune;7.318;0;7,38;203,60999999999999;0;6,72;12,66;102,39;17,448;0,5337;22,09;119,5;
Melissano;16075044;2013;Comune;7.288;0;10,74;471,56;0;6,86;18,74;133,34;13,914000000000001;0,913;28,79;155,72;
Melpignano;16075045;2010;Comune;2.217;1,4;4,5;121,24000000000001;446,38;7,46;1,6724999999999999;67,742;9,07;2,3899999999999997;0;145,0675;
Melpignano;16075045;2011;Comune;2.209;1,19;3,78;117,65;423,12;12,48;5,9622;65,2466;9,07;2,3899999999999997;0;97,6764;
Melpignano;16075045;2012;Comune;2.202;0;3,6;117,46000000000001;1,31;7,59;4,8950000000000005;66,44;5,83;1,612;0;69,37;
Melpignano;16075045;2013;Comune;2.241;1,29;7,56;116,82;397,20000000000005;17,07;90,38;83;13,04;6,447;0;25;
Miggiano;16075046;2010;Comune;3.685;0,77;8,33;98,38;9,12;6,84;13,52;51,42;14,908000000000001;0,21999999999999997;0;98,1;
Miggiano;16075046;2011;Comune;3.684;1,35;4,37;98,75999999999999;7,18;4,22;12,04;44,84;12,419;157,132;0;108,32;
Miggiano;16075046;2012;Comune;3.672;2,8;13,74;89,7;0;3,34;24,02;84,66;13,733;0,6557000000000001;33,88;86,64;
Miggiano;16075046;2013;Comune;3.646;0;7,64;173,14;0;3,34;12,64;46,47;11,633999999999999;0,471;8,79;84,8;
Minervino di Lecce;16075047;2010;Comune;3.787;0,35;0;44,23;0;0;17,68;21,55;3,9890000000000003;0;0,54;234,17;
Minervino di Lecce;16075047;2011;Comune;3.729;161,7;0;34,72;3,1;4,52;2,75;1,36;10,872;0,42199999999999993;18,21;150,02;
Minervino di Lecce;16075047;2012;Comune;3.720;1,15;9,72;87,7538;0;9,2986;6,439500000000001;46,3981;12,15;1,2020000000000002;18,03;163,6091;
Minervino di Lecce;16075047;2013;Comune;3.717;0,5;9,88;129,15;2,18;1,7;11,365;50,64;7,817;0,8800000000000001;12,6;147,6;
Monteroni di Lecce;16075048;2010;Comune;13.964;3,7;15,81;552,15;46,81;7,94;0,96;285,42;14,405;0,75;0;321,34;
Monteroni di Lecce;16075048;2011;Comune;13.881;9,35;30,48;517,96;0;0,18;20,5207;67,779;22,455;0,48;0;465,2915;
Monteroni di Lecce;16075048;2012;Comune;13.881;0;29,66;574,5282;0;2,7154;8,6893;90,9659;14,38;0,5;0;343,5025;
Monteroni di Lecce;16075048;2013;Comune;14.134;0;24,34;542,66;9,38;2,92;8,49;87,42;10,86;1,4;0;333,38;
Montesano Salentino;16075049;2010;Comune;2.696;0;5,73;72,58;0;4,36;9,959999999999999;32,86;7,372300000000001;0,168;0;76,42;
Montesano Salentino;16075049;2011;Comune;2.677;0;5,7;69,24;0;2,7;8,68;30,94;6,3995999999999995;0,23050000000000004;0;68,8;
Montesano Salentino;16075049;2012;Comune;2.675;0,54;6,73;62,620000000000005;2,25;2,58;9,14;29,49;6,7620000000000005;0,2986;0;66,82;
Montesano Salentino;16075049;2013;Comune;2.698;0;6,64;67,62;0;2,16;8,22;33,06;7,476;0,318;7,21;71,16;
Morciano di Leuca;16075050;2010;Comune;3.460;0,56;7,04;96,65;0;12,58;7,84;43,56;14,180000000000001;0,41800000000000004;0;92,44;
Morciano di Leuca;16075050;2011;Comune;3.416;0;11,65;102,24;0;16,48;8,96;44,92;12,84;0,19499999999999998;0;94,49;
Morciano di Leuca;16075050;2012;Comune;3.406;0;10,06;96,11;0;9,07;7,62;48,43;14,305;0,045;0;78,13;
Morciano di Leuca;16075050;2013;Comune;3.411;0;12,67;112,96000000000001;0;7,79;10,16;56,35;9,280000000000001;0;0;111,65;
Muro Leccese;16075051;2010;Comune;5.123;0,15;0;47,71;0;0;30,3;36,02;6,137;0;0;339,25;
Muro Leccese;16075051;2011;Comune;5.091;272,1;0;44,68000000000001;2,48;5,9;3,24;0,9;7,539;0,44600000000000006;26,05;141,74;
Muro Leccese;16075051;2012;Comune;5.086;2,27;12,03;110,6796;0;10,641200000000001;10,1758;71,17519999999999;14,02;1,675;22,33;127,1209;
Muro Leccese;16075051;2013;Comune;5.046;2;18,72;156,06;1,86;2,5;16,9;69,55;14,421999999999999;1,587;17,09;156,74;
Nardò;16075052;2010;Comune;31.952;863,664;91,92;501,16999999999996;83,02;168,28;5,6;26,17;80,789;2,172;0;248,18;
Nardò;16075052;2011;Comune;31.688;758,245;89,06;507,94;115,07;210,77;40,98;43,05;63,677;2,65;0;303,44;
Nardò;16075052;2012;Comune;31.664;6,44;0;798,52;268,81;210,64;66,11;219,88;131,91;5,16;3,37;321,97;
Nardò;16075052;2013;Comune;31.862;8,46;0;792,15;250,94;192,85;58,955000000000005;290,04;106,48;5,851999999999999;63,09;301,45;
Neviano;16075053;2010;Comune;5.533;0,8;28,66;0;1,86;13,64;2,68;0;1,14;0,01;0;0;
Neviano;16075053;2011;Comune;5.514;0,28;24,09;0;0;15,95;5,5;0;3,12;0;0;0;
Neviano;16075053;2012;Comune;5.503;0,26;55,07;73,03;3,72;5,23;0,04;11,3;0,201;0,015;6,38;18,76;
Neviano;16075053;2013;Comune;5.429;0;37,31;148,82999999999998;0;0;0;93,86;5,022;0,6900000000000001;6,44;0;
Nociglia;16075054;2010;Comune;2.482;51,43;15,28;34,78;0;0;8,0097;9,4998;7,075;0;18,363;134,4349;
Nociglia;16075054;2011;Comune;2.456;5,91;14,42;21,35;10,22;3,17;10,7325;13,530600000000002;7,304999999999999;0,274;9,88;142,1511;
Nociglia;16075054;2012;Comune;2.449;1,04;10,4;68,25;0;3,81;1,52;35,59;11,761;0,28400000000000003;9,66;80,99;
Nociglia;16075054;2013;Comune;2.386;0,37;4,26;68,52000000000001;1,42;2,74;4,51;35,38999999999999;4,63;0,559;6,55;73,3;
Novoli;16075055;2010;Comune;8.200;105,4;8,68;137,93;0;0;10,3386;13,6226;10,378;0,07;0;161,6372;
Novoli;16075055;2011;Comune;8.211;193,09;5,55;185,93;0;0;7,62;136,68;10,629999999999999;0,4;0;198,6994;
Novoli;16075055;2012;Comune;8.203;0;5,53;288,92;0,4;2,7;13,02;143,42;8,85;0,49;0;131,82;
Novoli;16075055;2013;Comune;8.137;0;7,02;499,40999999999997;5,65;0;0;0;6,8;0,42000000000000004;0;266,43;
Ortelle;16075056;2010;Comune;2.413;0,3;0;13,89;0;0;12,379999999999999;13,97;4,094;0;0;161,08;
Ortelle;16075056;2011;Comune;2.359;120,14;0;17,78;0;5,45;2,97;0,2;8,071;0,20400000000000001;4,68;75,46;
Ortelle;16075056;2012;Comune;2.354;1,69;0;46,42;0;13,9;8,29;35,04;9,775;0,147;12,5;76,30000000000001;
Ortelle;16075056;2013;Comune;2.329;0,37;9,87;53,330000000000005;1,22;3,76;6,05;58,58;4,8500000000000005;0,5650000000000001;4,34;125,93;
Otranto;16075057;2010;Comune;5.548;2,35;0;86,79;0;0;48,16;60,35;9,477;0;0,78;680,35;
Otranto;16075057;2011;Comune;5.622;342,57800000000003;0;89,62;36,23;14,96;4,9427;3,4054;13,471;0,305;22,85;306,2751;
Otranto;16075057;2012;Comune;5.632;1,76;21,08;225,4074;26,14;45,9578;16,061;127,4063;46,35;2,3529999999999998;18,7;373,3342;
Otranto;16075057;2013;Comune;5.670;2,51;0;320,48;41,04;36,26;17,979999999999997;111,22;36,94;3,377;17,07;345,6;
Palmariggi;16075058;2010;Comune;1.580;2,7;3,4;5,08;2,88;4,86;8,1396;16,0151;7,872;0,07200000000000001;0;115,0319;
Palmariggi;16075058;2011;Comune;1.554;0;4,3;32,3;2,68;3,52;0;39,79;8,219;0,11199999999999999;0;43,46;
Palmariggi;16075058;2012;Comune;1.550;0;12,46;40,709999999999994;2,29;4,09;2,59;57,45;7,672000000000001;0,2576;1,32;43,76;
Palmariggi;16075058;2013;Comune;1.535;0;4,31;41,12;0;4,46;4,5;24,68;6,568;0,22599999999999998;0;39,68;
Parabita;16075059;2010;Comune;9.374;0;17,42;305,96000000000004;0;20,9;14,21;120,22;3,846;0,060000000000000005;0;141,27;
Parabita;16075059;2011;Comune;9.323;3,49;17,09;305,78;1,56;15,15;16,99;124,13;12,32;0,060000000000000005;0;155,34;
Parabita;16075059;2012;Comune;9.297;0;24,83;298,84000000000003;0;0,32;16,35;123,8;14,96;0,03;32,14;157,7;
Parabita;16075059;2013;Comune;9.271;4,01;47,98;317,43;0;0;17,55;133,39;25,560000000000002;1,85;9,48;169,33;
Patù;16075060;2010;Comune;1.740;0;8,47;80,53999999999999;0;6,8;4,9;31,49;15,16;0,18000000000000002;0,89;77,05;
Patù;16075060;2011;Comune;1.721;0;8,68;78,16;0;7,44;0,65;33,41;11,74;0,25;0;66,94;
Patù;16075060;2012;Comune;1.719;0;8,22;73,11;0;4,33;2,026;39,4;12,1;0,27899999999999997;3,02;71,46;
Patù;16075060;2013;Comune;1.687;0,21;6,29;64,42999999999999;0;2,89;4,54;39,4;10,47;0,522;2,19;71,46;
Poggiardo;16075061;2010;Comune;6.140;0,77;0;108,45;0;0;31,09;39,78;10,652399999999998;0;0,85;383,47;
Poggiardo;16075061;2011;Comune;6.119;370,32;0;95,14;0;8,45;5,1;1,56;92,3113;1,691;39,28;197,56;
Poggiardo;16075061;2012;Comune;6.128;7,78;53,54;260,7942;16,1;14,7774;14,0877;109,36789999999999;93,447;8,283;30,32;238,0713;
Poggiardo;16075061;2013;Comune;6.103;5,2;45,54;300,83000000000004;3,48;28,48;24,380000000000003;95,89999999999999;73,53800000000001;5,521999999999999;24,18;176,8;
Presicce;16075062;2010;Comune;5.621;2,55;7,21;224,26;0;12,11;9,7068;62,7083;22,976;5,114;0;125,1419;
Presicce;16075062;2011;Comune;5.589;8,53;10,89;201,12;0;12,25;10,2984;61,1211;21,308999999999997;3,478;34;130,4691;
Presicce;16075062;2012;Comune;5.580;2,9400000000000004;11,78;413,28000000000003;0,95;11,58;15,61;119,96;20,38;4,199999999999999;9,538;225,24;
Presicce;16075062;2013;Comune;5.515;6,12;20,08;193,04;0,7;13,08;11,31;34,82;21,43;4,33;10,53;117,43;
Racale;16075063;2010;Comune;10.892;4,29;0;696,211;0,74;43,23;25,979999999999997;171,8;32,115;1,775;0,04;214,99;
Racale;16075063;2011;Comune;10.734;12,108;0;635,16;0;33,16;27,28;124,92;29,939999999999998;0,575;0;180,155;
Racale;16075063;2012;Comune;10.732;0,03;0;494,2;6,71;25,85;20,02;151,75;0;1,55;18,83;167,42499999999998;
Racale;16075063;2013;Comune;10.973;28,529999999999998;17,3;483,43;1,32;19,35;15,8;133,08999999999997;31,220000000000002;0,46;0,03;155,68;
Ruffano;16075064;2010;Comune;9.724;15,88;14,36;379,53999999999996;0;26,53;26,38;129,4;23,323999999999998;0,037;0;182,23;
Ruffano;16075064;2011;Comune;9.854;0;14,29;382,82000000000005;0;19,87;28,16;143,34;21,1514;0,135;0;191,12;
Ruffano;16075064;2012;Comune;9.852;0;33,76;396,07;6,63;12,89;26,7;145,8;28,997000000000003;0,28500000000000003;0,4;184,08;
Ruffano;16075064;2013;Comune;9.852;0;59,88;376,83000000000004;4,07;13,44;24,16;147,41;17,62;0,23;0,02;191,78;
Salice Salentino;16075065;2010;Comune;8.767;0;22,8;69,9;40,09;0;15,3078;20,0122;3,2199999999999998;0,42000000000000004;0;147,1796;
Salice Salentino;16075065;2011;Comune;8.642;0,78;23,06;63,800000000000004;2,96;0;14,5313;19,0154;4,56;0,74;0;159,4041;
Salice Salentino;16075065;2012;Comune;8.637;0,78;23,06;63,800000000000004;2,96;0;14,5313;19,0154;4,56;0,74;0;159,4041;
Salice Salentino;16075065;2013;Comune;8.505;0;25,08;95,25999999999999;0;1,46;4,95;48,31;8,78;1,18;0;41,87;
Salve;16075066;2010;Comune;4.708;0,66;8,91;130,16;0;13,94;7,99;50,994;16,172;0,382;0;126,32;
Salve;16075066;2011;Comune;4.737;167,14000000000001;15,6;163,905;0;20,09;9,13;61,415;19,830000000000002;0,10800000000000001;21,19;130,37;
Salve;16075066;2012;Comune;4.721;1,25;17,26;179,33999999999997;0;14,46;8,14;58,04;18,55;0,085;10,761;132,41;
Salve;16075066;2013;Comune;4.792;6,3;32,6;154,64;14,6;20,69;12,9;78,44;19,07;0,03;6,99;151,55;
Sanarica;16075067;2010;Comune;1.490;0,5;0;14,14;0;0;8,39;9,74;4,898;0;0;106,14;
Sanarica;16075067;2011;Comune;1.503;83,14;0;14,57;0;4,35;3,19;0,2;5,6532;0,37;4,72;46,44;
Sanarica;16075067;2012;Comune;1.504;1,2;0;35,34;0;8,43;5,25;23,580000000000002;10,51;0,45199999999999996;2,23;72,49000000000001;
Sanarica;16075067;2013;Comune;1.469;0,37;5,12;48,790000000000006;2,5;4,03;1,155;2,56;10,51;1,1079999999999999;4,31;66,45;
San Cesario di Lecce;16075068;2010;Comune;8.398;0;12,04;88,34;2,19;0;18,6915;24,6288;5,04;2,0200000000000005;0;264,1533;
San Cesario di Lecce;16075068;2011;Comune;8.297;3,84;21,28;87,64;0;0;18,6911;24,6019;6,72;2,67;5;267,7546;
San Cesario di Lecce;16075068;2012;Comune;8.304;3,84;21,28;87,64;0;0;18,6911;24,6019;6,72;2,67;5;267,7546;
San Cesario di Lecce;16075068;2013;Comune;8.376;0;14,76;150,15;9,31;1,96;6,31;64,95;6,84;1,61;16,23;132,17;
San Donato di Lecce;16075069;2010;Comune;5.871;0;50,208;137,64;0;4,356;0;104,088;4,3236;0;0;176,808;
San Donato di Lecce;16075069;2011;Comune;5.792;0,36;10;125,9;0;6,5;0;81,97;3,23;0;0;148,42;
San Donato di Lecce;16075069;2012;Comune;5.803;0;44,41;131,72;0;0;0;66,03;1,523;0;0;151,99;
San Donato di Lecce;16075069;2013;Comune;5.849;2,26;51,3;152,27999999999997;0;0;0;84,9;7,582999999999999;0,94;0;4,7;
Sannicola;16075070;2010;Comune;5.965;15,9927;21,36;148,87630000000001;0,0655;50,9345;3,84;61,210899999999995;16,9894;0,2618;0;100,5927;
Sannicola;16075070;2011;Comune;5.902;2,62;20,62;126,55;0;44,27;1,3;56,37;10,617;0,44999999999999996;0;106,99;
Sannicola;16075070;2012;Comune;5.892;0;0;123,6;0;46,44;0;58,43;0;6,66;0;95,47;
Sannicola;16075070;2013;Comune;5.972;0;18,76;145,83499999999998;0;40,18;11,799999999999999;77,32;12,811;0,4;13,05;126,51;
San Pietro in Lama;16075071;2010;Comune;3.628;0;1,92;132,42;0;4,62;4,44;90,17;10,89;0,266;0;94,88;
San Pietro in Lama;16075071;2011;Comune;3.600;0,003;8,9;130,41;0;8,75;0,325;80,1;9,42;0,348;0;89,5;
San Pietro in Lama;16075071;2012;Comune;3.606;0;8,12;123,46;0;6,96;2,5549999999999997;78,04;11,420000000000002;0,266;8,28;88,36;
San Pietro in Lama;16075071;2013;Comune;3.608;0;7,32;123,02000000000001;0;5,49;4,883;77,67;11,9;0,352;9,92;85,01;
Santa Cesarea Terme;16075072;2010;Comune;3.051;178,43;22;46,88;0;0;1,54;0;11,236;0;10,907;193,4;
Santa Cesarea Terme;16075072;2011;Comune;3.032;156,03;11,85;48,28;2,18;5,6;5,2509999999999994;2,6112;8,561;0,6749999999999999;14,91;145,6138;
Santa Cesarea Terme;16075072;2012;Comune;3.015;2,2;9,13;73,521;9,04;9,430000000000001;9,190100000000001;48,331;17,22;0,32;6,49;137,8803;
Santa Cesarea Terme;16075072;2013;Comune;3.044;0,57;13,67;107,19;4,78;5,14;7,49;42,160000000000004;11,780000000000001;0,8940000000000001;9,26;130,74;
Scorrano;16075073;2010;Comune;7.027;452,53999999999996;33,716;73;0;0;0,34;0;14,09;0;13,709;178,78;
Scorrano;16075073;2011;Comune;6.975;380,62;13,44;58,48;6,54;6,36;5,254;3,6288;10,424;0,308;34,24;255,0812;
Scorrano;16075073;2012;Comune;6.966;1,12;14,89;186,94;0;12,4;15,740000000000002;120,56;13,89;0,771;24,48;265,3;
Scorrano;16075073;2013;Comune;7.021;1,3;20,34;160,66;4,52;6,12;2,14;109,62;13,89;2,407;24,87;233,18;
Seclì;16075074;2010;Comune;1.938;0,3;10,21;23,369999999999997;0;0,49;0,84;15,88;4,07;0,08;0;0;
Seclì;16075074;2011;Comune;1.923;0;1,52;33,46;0;1,05;0,1;16,48;2,13;0;3,25;19,22;
Seclì;16075074;2012;Comune;1.926;0;1,88;25,13;0;0,52;0,1;14,47;2,5100000000000002;1,33;17,44;20,38;
Seclì;16075074;2013;Comune;1.906;0;1,5;44,37;0;0,13;0,15;14,42;3,2600000000000002;0,02;11,86;19,3;
Sogliano Cavour;16075075;2010;Comune;4.122;0;0,99;88,86;0;0;4,93;59,24;0,7;0;0;65,87;
Sogliano Cavour;16075075;2011;Comune;4.065;0;10,03;80,62;0;12,58;9,48;53,6;8,485000000000001;0,07;10,33;70,64;
Sogliano Cavour;16075075;2012;Comune;4.078;0;12,14;79,79;0;8,66;9,76;49,91;9,110000000000001;0,03;9,36;74,38;
Sogliano Cavour;16075075;2013;Comune;4.001;0;10,21;90,16;2,7;7,42;8,51;55,12;6,71;0,3;0;80,26;
Soleto;16075076;2010;Comune;5.572;152,28;7,67;174,94;0;5,04;0;88,28;11,690000000000001;0;0;145,78;
Soleto;16075076;2011;Comune;5.542;169,3;9,53;172,56;0;3,22;18,49;101,19;11,74;0;0;128,57;
Soleto;16075076;2012;Comune;5.556;0;11,32;166,65;0;0;21,44;104,65;0;0;24;135,64;
Soleto;16075076;2013;Comune;5.539;0,85;7,36;230,52999999999997;6,46;0,02;14,08;73,65;8,919;0;28,83;97,14;
Specchia;16075077;2010;Comune;4.912;0;6,4;179,31;0;0;42,35;85,41;11,0872;0;0;120,71;
Specchia;16075077;2011;Comune;4.807;2,59;9,5;175,51999999999998;0;2,12;45,82;79,08;12,097;0;36,31;209,84;
Specchia;16075077;2012;Comune;4.807;2,95;5,34;179,86;18,39;6,42;34,46;93,26;18,116000000000003;0;20,44;156,22;
Specchia;16075077;2013;Comune;4.873;0;16,62;182,59;0;2,54;29,3;111,64;15,149999999999999;0,59;17,64;154,02;
Spongano;16075078;2010;Comune;3.803;221,6618;13,8982;28,32;0;0;1,3636;0;4,7433;0,0087;19,677799999999998;102,8073;
Spongano;16075078;2011;Comune;3.742;193,01;7,61;30,51;11,11;3,53;4,149;3,0428;7,505;0,43;10,8;127,1022;
Spongano;16075078;2012;Comune;3.748;0,98;6,92;92,2517;3,12;8,9649;8,287700000000001;54,5892;12,905000000000001;0,91;8,03;126,3875;
